date,year,month,day_of_year,system:time_start,system_index,scene_cloud_percent,GCC,NDVI,NDVI_RAW_ORIGINAL,NDVI_WINDOW_DAYS,NDTI,NDPI,FAI,NDCI,KINNERET_2B,KINNERET_3B
2022-04-25,2022,4,115,1.650875464479E12,20220425T081611_20220425T082256_T36SYB,0.125657,0.38436834736790576,-0.165897220914911,0.003126635925420964,61,0.03568152782949025,-0.0021263951109095824,3.1700761181239183E-4,0.12198913208015792,1.2924022058289273,0.21609991087917882
2022-04-30,2022,4,120,1.651307452896E12,20220430T081559_20220430T082826_T36SYB,1.661597,0.348505068138322,-0.16485968450508,0.18262807717486976,61,0.034625850733602054,0.08981619141022772,0.0530749580268,0.0743939563024558,1.1608470718787358,0.17544981168380006
2022-05-05,2022,5,125,1.651739464184E12,20220505T081611_20220505T082252_T36SYB,57.327521,0.3457155081743017,-0.202802324042072,-0.11781412212115257,61,-0.004573309232479231,-0.25530569175329276,-0.01196678406856858,0.029582839187578175,1.061264911923538,0.04347706922768782
2022-05-10,2022,5,130,1.652171456831E12,20220510T081559_20220510T082248_T36SYB,0.141376,0.3386833879000157,-0.255384273317663,-0.17273682676838314,61,0.00959296801296601,-0.18514745985760375,-0.027741722376415524,0.00530474567538139,1.010930479933524,0.00741337603765179
2022-05-15,2022,5,135,1.652603463952E12,20220515T081611_20220515T082255_T36SYB,20.606218,0.348118299154057,-0.274030683829637,0.10626283241019951,61,0.09321413469496047,0.14405455848908544,0.022334476758322744,0.07856517644326161,1.1706538646785067,0.16472337503187798
2022-05-20,2022,5,140,1.653035459357E12,20220520T081559_20220520T082250_T36SYB,4.863229,0.3765853551057032,-0.283251982680516,-0.41878299384413104,61,0.017039866086754375,-0.5354997256672736,-0.015186518707800693,0.1358487521483083,1.3575626387464748,0.12509847963107223
2022-05-25,2022,5,145,1.653467466704E12,20220525T081611_20220525T082258_T36SYB,0.017256,0.36945258542163456,-0.296552505771911,-0.7284853767411328,61,0.042987149302206186,-0.46194435840316966,-0.026370417055856528,0.07480651325351644,1.1717267950136954,0.028492260436022404
2022-05-30,2022,5,150,1.65389945943E12,20220530T081609_20220530T082247_T36SYB,0.043902,0.355601454001376,-0.342927752383922,-0.2717265349667592,61,0.09097763795450213,0.135839091368105,-0.023394526418949183,0.058618815390715305,1.1273102821167327,0.04783759645110875
2022-06-04,2022,6,155,1.654331467366E12,20220604T081611_20220604T082259_T36SYB,0.312819,0.3930610524877206,-0.412105210844653,-0.8947956986760165,61,0.012581400867605492,-0.5957795711972554,-0.024482992944173124,0.0946028254243969,1.2201620378206672,0.009187430642481028
2022-06-09,2022,6,160,1.654763461445E12,20220609T081609_20220609T082249_T36SYB,0.235941,0.3716968072957319,-0.453441734081975,-0.5627998050278211,61,0.017295569412638122,-0.33512160330622026,-0.02114906575158863,0.08475245118838626,1.1941227176442295,0.0371767762865369
